Outlet ID,BOX 
2300155,1 (Ogun state)
23008025,1 (Ogun state)
2300165,1 (Ogun state)
23003402,1 (Ogun state)
23003405,1 (Ogun state)
23000277,1 (Ogun state)
23003411,1 (Ogun state)
23002400,1 (Ogun state)
23009439,1 (Ogun state)
23009439,1 (Ogun state)
23000233,1 (Ogun state)
23036600,1 (Ogun state)
23009436,1 (Ogun state)
23000283,1 (Ogun state)
23004800,1 (Ogun state)
23009435,1 (Ogun state)
23000295,1 (Ogun state)
23003407,1 (Ogun state)
23036014,1 (Ogun state)
23036500,1 (Ogun state)
Outlet ID,BOX
23008084, 2 (Ogun State)
23008065, 2 (Ogun State)
23008022, 2 (Ogun State)
23000264, 2 (Ogun State)
23011800, 2 (Ogun State)
23000268, 2 (Ogun State)
23000228, 2 (Ogun State)
23008007, 2 (Ogun State)
23008006, 2 (Ogun State)
23008023, 2 (Ogun State)
23008003, 2 (Ogun State)
23023300, 2 (Ogun State)
23000262, 2 (Ogun State)
23027300, 2 (Ogun State)
23008067, 2 (Ogun State)
23008018, 2 (Ogun State)
23008086, 2 (Ogun State)
23008091, 2 (Ogun State)
23000266, 2 (Ogun State)
23023800, 2 (Ogun State)
23003464, 2 (Ogun State)
23003465, 2 (Ogun State)
23027200, 2 (Ogun State)
23008066, 2 (Ogun State)
23025800, 2 (Ogun State)
23025000, 2 (Ogun State)
23000280, 2 (Ogun State)
23000259, 2 (Ogun State)
23034800, 2 (Ogun State)
23003469, 2 (Ogun State)
23036001, 2 (Ogun State)
23037600, 2 (Ogun State)
23036008, 2 (Ogun State)
23024300, 2 (Ogun State)
